	Country	Achievement	Benevolence	Conformity	Hedonism	Power	Security	Self-direction	Stimulation	Tradition	Universalism
33	Group_34	1.823886639676113	1.477732793522267	1.9433198380566807	2.3188259109311744	3.361336032388664	1.5182186234817812	1.789473684210526	3.5384615384615383	3.408906882591094	1.7280701754385963
34	Group_35	2.6476345840130504	1.6908646003262642	1.977161500815661	2.376019575856444	3.105220228384992	1.5587275693311575	2.356443719412724	4.950244698205547	1.85073409461664	1.930125067971724
35	Group_36	4.319209039548023	1.519774011299435	4.340395480225989	1.9166666666666663	4.693502824858757	3.0790960451977405	1.6285310734463274	1.850282485875706	2.546610169491525	1.601694915254237
36	Group_37	3.9681528662420384	2.8853503184713376	3.451167728237792	3.4384288747346075	3.365180467091295	3.563694267515923	3.959660297239916	3.889596602972399	2.9490445859872607	3.2816702052370843
37	Group_38	3.121857923497268	3.1054644808743173	3.1174863387978142	2.8273224043715848	3.201639344262295	3.03551912568306	2.9825136612021854	3.007103825136612	2.914207650273224	3.079052823315118
38	Group_39	4.966463414634147	2.051829268292683	2.8765243902439024	4.759146341463414	4.966463414634147	3.900914634146341	3.7057926829268286	4.914634146341463	2.417682926829268	2.404979674796748
39	Group_40	4.087619047619048	1.6285714285714288	1.7257142857142866	4.883809523809524	3.294285714285714	1.4199999999999997	2.282857142857143	4.821904761904762	1.6333333333333335	1.72
40	Group_41	3.008604206500956	1.9407265774378584	2.494263862332696	4.209369024856596	4.183556405353729	1.8967495219885275	2.2848948374761	4.345124282982791	3.768642447418739	2.12842574888464
41	Group_42	4.694078947368421	1.8898026315789476	4.53125	4.199013157894736	4.952302631578946	3.8157894736842097	1.8042763157894732	3.143092105263158	3.09375	1.748355263157895
42	Group_43	2.671232876712329	2.0861056751467717	2.7592954990215266	3.683953033268102	4.107632093933464	1.987279843444227	3.668297455968689	3.231898238747554	2.4217221135029354	2.2067840834964123
43	Group_44	2.544147843942505	1.8880903490759755	4.483572895277208	2.5831622176591376	4.028747433264887	2.009240246406571	1.892197125256673	3.967145790554415	3.914784394250514	1.988021902806297
44	Group_45	2.635135135135135	3.0827702702702697	4.785472972972974	1.9239864864864864	3.133445945945946	3.859797297297298	2.2179054054054053	2.255067567567567	4.667229729729731	3.591216216216216
